resource,description,review_by,review,mention_by,model_number,review_at,reviews,review_rating,mentions,product_rating,mention_link_fk,number_of_replies
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Bob Beatty,Excellent performance and no problems,,Power Conect 2748,"Aug 28, 2009",16,,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Josh Williams,Great product for the price. Been going strong for well over a year.,,Power Conect 2748,"Aug 13, 2009",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Scribbles,Great Features for a really good price!,,Power Conect 2748,"Jul 21, 2008",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),mattovey,Fantastic,,Power Conect 2748,"Apr  1, 2008",16,5.0,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),411Tech,Dell's Web Managed Switches are an unrespected TREASURE,,Power Conect 2748,"Feb 18, 2008",16,,0,4.1,,21
,Dell PowerConnect 2748 Features & Functions: - 48 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports - 4 SFP fiber combo ports provide support for 1000BASE-SX and 1000BASE-LX transceivers - Switch Fabric Capacity up to 144Gbps - Supports up to 64 port-based VLANs More information (www.aaavoip.com),Phil6683,Great performance for the price,,Power Conect 2748,"Jan  4, 2008",16,5.0,0,4.1,,21
,Interfaces/Ports: -Number of Ports: 24 -Gigabit Ethernet Port: Yes -Interfaces/Ports: 24 x RJ-45 10/100/1000Base-T Network LAN I/O Expansions: -Number of Expansion Slots: 4 -Expansion Slots: (4 Total) SFP (mini-GBIC) Shared Management & Protocols: -Manageable: Yes Standard Memory: 256 MB More information (www.futurepowerpc.com),tomvoss,I have two of these and they have been stable for years. I'd recommend this to anyone needing a layer 3 switch.,,PCT6224,"Oct 17, 2013",3,5.0,0,4.8,,4
,Interfaces/Ports: -Number of Ports: 24 -Gigabit Ethernet Port: Yes -Interfaces/Ports: 24 x RJ-45 10/100/1000Base-T Network LAN I/O Expansions: -Number of Expansion Slots: 4 -Expansion Slots: (4 Total) SFP (mini-GBIC) Shared Management & Protocols: -Manageable: Yes Standard Memory: 256 MB More information (www.futurepowerpc.com),Atari007,Excellent layer 3 POE switch!! I have nothing but good things to say about these switches. Definitely worth the money!!!,,PCT6224,"Aug 31, 2011",3,5.0,0,4.8,,4
,Interfaces/Ports: -Number of Ports: 24 -Gigabit Ethernet Port: Yes -Interfaces/Ports: 24 x RJ-45 10/100/1000Base-T Network LAN I/O Expansions: -Number of Expansion Slots: 4 -Expansion Slots: (4 Total) SFP (mini-GBIC) Shared Management & Protocols: -Manageable: Yes Standard Memory: 256 MB More information (www.futurepowerpc.com),Ryan_w,"These switches are decent for the price. Not as good as Cisco or HP, but for a fully managed stackable switch they are good. I've had a few issues with the fireware and updating the firmware.",,PCT6224,"Mar 18, 2011",3,4.0,0,4.8,,4
,"Accelerate productivity and take on changing business needs with the enhanced scalability, performance and energy efficiency of the Dell Networking 8100 switch family. More information (www.dell.com)",,,,Dell Powerconnect 8132F,,0,,0,,,0
,"48 10/100BASE-T auto-sensing Fast Ethernet switching ports Additional 2 Copper GbE ports PLUS 2 optional Fiber GbE via SFP transceivers Integrated Copper GbE ports provide resilient stacking Auto-negotiation for speed, duplex mode and flow control Auto MDI/MDIX Port mirroring Broadcast storm control",,,,3448,,0,,0,4.5,,2
,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",BC1,"I use these as core switches for mid-sized locations and I also use them in server racks within the datacenter. I have 30+ deployed. They work well, we have not had any issues. Not a single failure to date. Basic setup, we use multiple vlans. Command line works well and is relatively intuitive. Same for web interface. Great device for the price.",,5424,"Mar 20, 2013",4,5.0,5,4.5,,4
,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",Derek_A,"Using these on our storage network. They work very well when configured properly. No issues with jumbos either. This was the recommended iSCSI switch from Dell for a while, but has since been updated to another model.",,5424,"May  1, 2012",4,5.0,5,4.5,,4
,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",Darth Hoody,"Good for what it is, and at excellent at its price point. Had some problems passing jumbo frames across LAGs after awhile despite being configured to do so. It seems to work for awhile and then quit. As a small LAN switch, they're just as good as most anything else out there.",,5424,"Nov 14, 2011",4,3.0,5,4.5,,4
,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",Jaques2895,Very good Product,,5424,"Oct 24, 2011",4,5.0,5,4.5,,4
Dell Forum,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",,,Dukat,5424,,4,,5,4.5,http://community.spiceworks.com/topic/494622,4
Networking Forum,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",,,Under Dog,5424,,4,,5,4.5,http://community.spiceworks.com/topic/430141,4
VMware Forum,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",,,Rob503,5424,,4,,5,4.5,http://community.spiceworks.com/topic/373945,4
Cisco Forum,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",,,Rahd2k2,5424,,4,,5,4.5,http://community.spiceworks.com/topic/263023,4
Networking Forum,"Port Attributes: -24 10/100/1000BASE-T auto-sensing Gigabit Ethernet switching ports -4 SFP combo slots for fiber media support (Note: SFP slots are used instead of the built-in 10/100/1000BaseT ports) -Auto-negotiation for speed, duplex mode and flow control -Auto MDI/MDIX -Port mirroring -Broadcast storm control Performance: -Switch Fabric Capacity 48.0 Gbps -Forwarding Rate 35.6 Mpps -Up to 8,000 MAC Addresses VLAN: -VLAN support for tagging and port-based as per IEEE 802.1Q; protocol-based VLANs -Up to 4000 VLANs supported -Dynamic VLAN with GVRP support -Protocol based VLANs -802.1x Auto VLAN More information (www.dell.com)",,,Dukat,5424,,4,,5,4.5,http://community.spiceworks.com/topic/306234,4
Networking Forum,"This Dell PowerConnect 2724 is ideal for workgroups that need Gigabit Ethernet to share large files or servers where Web-managed capabilities are needed. With 24 Gigabit Ethernet ports, this switch delivers high-performance, reliable server connectivity. Remote management protocol: RMON, HTTP Interfaces: 24x Ethernet 10/100/1000 (RJ-45), 2.0x SFP (mini-GBIC) Data transfer rate: 1.0 Gbps Model: TJ689 Dimensions: 13 inches wide x 1.7 inches high x 9.1 inches deep Weight: 6.6 pounds",,,TBW07,2724,,0,,1,3.3,http://community.spiceworks.com/topic/392022,3
,"The Dell Wireless WLAN Card Utility enables you to do the following network task; Manage your wireless networks and create network connection profiles (Wireless Networks tab). Connect to available networks (utility icon in notification area). Find out which broadcasting networks are in range and search for nonbroadcasting networks (Site Monitor tab). In the utility, you can open the Wireless Network Wizard to connect to a basic network or create an ad hoc network, or you can open the Wireless Network Connection Settings tool to connect to an advanced network. To do any of the other tasks, click the tab that is associated with the described task.",AshleyLewisMS,"Just another ""utility"" that pops up every time you connect to a new wireless network and annoys you. Personally, I just uninstall and let Windows manage the WLAN",,DW WLAN Card Utility,"Oct 22, 2014",3,1.0,1,2.5,,4
,"The Dell Wireless WLAN Card Utility enables you to do the following network task; Manage your wireless networks and create network connection profiles (Wireless Networks tab). Connect to available networks (utility icon in notification area). Find out which broadcasting networks are in range and search for nonbroadcasting networks (Site Monitor tab). In the utility, you can open the Wireless Network Wizard to connect to a basic network or create an ad hoc network, or you can open the Wireless Network Connection Settings tool to connect to an advanced network. To do any of the other tasks, click the tab that is associated with the described task.",peter,piece of dell branded software that conflicts with nearly everything you may need to do with your wireless card so get rid of it,,DW WLAN Card Utility,"Jan 10, 2013",3,1.0,1,2.5,,4
,"The Dell Wireless WLAN Card Utility enables you to do the following network task; Manage your wireless networks and create network connection profiles (Wireless Networks tab). Connect to available networks (utility icon in notification area). Find out which broadcasting networks are in range and search for nonbroadcasting networks (Site Monitor tab). In the utility, you can open the Wireless Network Wizard to connect to a basic network or create an ad hoc network, or you can open the Wireless Network Connection Settings tool to connect to an advanced network. To do any of the other tasks, click the tab that is associated with the described task.",Luigi The Cat,The driver steps in with the Zero Config to set up WLAN capabilities on certain Dell laptops. If you prefer to use the Windows Zero Config then this can just be turned off. Otherwise does an OK job at setting up and managing wireless networks.,,DW WLAN Card Utility,"Jan  7, 2013",3,3.0,1,2.5,,4
Dell Forum,"The Dell Wireless WLAN Card Utility enables you to do the following network task; Manage your wireless networks and create network connection profiles (Wireless Networks tab). Connect to available networks (utility icon in notification area). Find out which broadcasting networks are in range and search for nonbroadcasting networks (Site Monitor tab). In the utility, you can open the Wireless Network Wizard to connect to a basic network or create an ad hoc network, or you can open the Wireless Network Connection Settings tool to connect to an advanced network. To do any of the other tasks, click the tab that is associated with the described task.",,,SCPRich,DW WLAN Card Utility,,3,,1,2.5,http://community.spiceworks.com/topic/681683,4
Dell Forum,"Dell Networking S-Series Managed Switches The Dell Force10 S-Series of switches allows for exceptional manageability at the network edge as a result of the Dell Force10 Open Automation Framework, which consists of multiple network management tools for comprehensive management. The Open Automation Framework of the Dell Force10 S-Series of managed switches also works to decrease operational expenses. More information (www.dell.com)",,,,Force10 S4810,,0,,1,,http://community.spiceworks.com/topic/549651,0
Networking Forum,"N-Series is a family of energy-efficient and cost-effective 1GbE and 10GbE switches designed for modernizing and scaling network infrastructure. The Dell Networking N2000 Series offers enhanced, high-availability Layer 2 Ethernet switches with basic Layer 3 routing functionality (Layer 2+) that: -Use MLAG for multipath loop-free redundancy without spanning tree to enable full-bandwidth utilization and high availability -Promote greater interoperability through interfaces with Cisco's Rapid Per VLAN Spanning Tree (RPVST+)1 and devices using Cisco Discovery Protocol (CDP) -Offer a more flexible choice in your network by uniting products with the latest open standard protocols -Feature Layer 3 IPv4 and IPv6 functionality, including static routing and Routing Information Protocol (RIP version 1 & 2) support for up to 256 interfaces More information (www.dell.com)",,,gersonacevedo,Dell N2000,,0,,4,,http://community.spiceworks.com/topic/1048644,0
Storage Forum,"N-Series is a family of energy-efficient and cost-effective 1GbE and 10GbE switches designed for modernizing and scaling network infrastructure. The Dell Networking N2000 Series offers enhanced, high-availability Layer 2 Ethernet switches with basic Layer 3 routing functionality (Layer 2+) that: -Use MLAG for multipath loop-free redundancy without spanning tree to enable full-bandwidth utilization and high availability -Promote greater interoperability through interfaces with Cisco's Rapid Per VLAN Spanning Tree (RPVST+)1 and devices using Cisco Discovery Protocol (CDP) -Offer a more flexible choice in your network by uniting products with the latest open standard protocols -Feature Layer 3 IPv4 and IPv6 functionality, including static routing and Routing Information Protocol (RIP version 1 & 2) support for up to 256 interfaces More information (www.dell.com)",,,Thildemar,Dell N2000,,0,,4,,http://community.spiceworks.com/topic/808232,0
Networking Forum,"N-Series is a family of energy-efficient and cost-effective 1GbE and 10GbE switches designed for modernizing and scaling network infrastructure. The Dell Networking N2000 Series offers enhanced, high-availability Layer 2 Ethernet switches with basic Layer 3 routing functionality (Layer 2+) that: -Use MLAG for multipath loop-free redundancy without spanning tree to enable full-bandwidth utilization and high availability -Promote greater interoperability through interfaces with Cisco's Rapid Per VLAN Spanning Tree (RPVST+)1 and devices using Cisco Discovery Protocol (CDP) -Offer a more flexible choice in your network by uniting products with the latest open standard protocols -Feature Layer 3 IPv4 and IPv6 functionality, including static routing and Routing Information Protocol (RIP version 1 & 2) support for up to 256 interfaces More information (www.dell.com)",,,Dutch2005,Dell N2000,,0,,4,,http://community.spiceworks.com/topic/596073,0
Dell Forum,"N-Series is a family of energy-efficient and cost-effective 1GbE and 10GbE switches designed for modernizing and scaling network infrastructure. The Dell Networking N2000 Series offers enhanced, high-availability Layer 2 Ethernet switches with basic Layer 3 routing functionality (Layer 2+) that: -Use MLAG for multipath loop-free redundancy without spanning tree to enable full-bandwidth utilization and high availability -Promote greater interoperability through interfaces with Cisco's Rapid Per VLAN Spanning Tree (RPVST+)1 and devices using Cisco Discovery Protocol (CDP) -Offer a more flexible choice in your network by uniting products with the latest open standard protocols -Feature Layer 3 IPv4 and IPv6 functionality, including static routing and Routing Information Protocol (RIP version 1 & 2) support for up to 256 interfaces More information (www.dell.com)",,,jhansen_fl,Dell N2000,,0,,4,,http://community.spiceworks.com/topic/528262,0
Dell Forum,More information (www.dell.com),,,Andrew2683,Dell N4000,,0,,1,,http://community.spiceworks.com/topic/736605,0
,"The Dell PowerConnect 6024 is 24-port managed Gigabit Ethernet switch with eight SFP Combo slots for fiber support. It delivers resilient, highly available data center server connectivity in small business or branch office networks. The switch provides an auto-sensing mode for speed, flow control, and duplex mode, and standards-based switching features including advanced Quality of Service, multicasting, link aggregation, dynamic VLANs, and Rapid Spanning Tree Protocol. With robust security capabilities including flow-based ACLs, port-based MAC security, RADIUS remote authentication, SSL/SSH encryption, and IP-based management access filtering, PowerConnect 6024 ensures high-performance, reliable network connectivity.",,,,6024,,0,,0,3.0,,1
,"General: -Device Type: Switch - 48.0 ports - Yes - Stackable -Enclosure Type: Desktop - 1.0 nm -Compatible Slots: None -Compatible Bays: None -Ports: 48.0 x 10/100 + 2.0 x Shared SFP + 2.0 x 10/100/1000 -MAC Address Table Size 8K entries -Remote Management Protocol: RMON , SNMP 3 , Telnet , HTTP , SNMP 1 , SNMP 2c , HTTPS -Encryption Algorithm: SSL 3.0 , SSL 2.0 , SSL -Authentication Method: Secure Shell (SSH) , TACACS+ , RADIUS -Features: Port mirroring , IGMP snooping , VLAN support , DHCP support , Manageable , Auto-negotiation , Broadcast Storm Control , Auto-uplink (auto MDI/MDI-X) , BOOTP support , Syslog support , Flow control -Compliant Standards: IEEE 802.3ab , IEEE 802.1x , IEEE 802.1w , IEEE 802.1Q , IEEE 802.1s , IEEE 802.3x , IEEE 802.3 , IEEE 802.1p , IEEE 802.3ad (LACP) , IEEE 802.1D , IEEE 802.3u -Status Indicators: Port transmission speed , Link OK , Port duplex mode , Link activity , Power Expansion / Connectivity: -Interfaces: 1.0 x Ethernet 10Base-T/100Base-TX - 9 pin D-Sub (DB-9) - Management , 48.0 x Ethernet 10Base-T/100Base-TX/1000Base-T - SFP (mini-GBIC) , 2.0 x Console - RJ-45 , 2.0 x RJ-45 More information (www.dell.com)",Ed Grauel,"I had one of these switches just fail after about 6 months of use. No warning, no flaky performance. The PSU was good and lights blinked, but the unit was just dead. I would not recommend this device.",,PowerConnect 3448,"Jun 17, 2013",1,2.0,3,3.3,,3
Networking Forum,"General: -Device Type: Switch - 48.0 ports - Yes - Stackable -Enclosure Type: Desktop - 1.0 nm -Compatible Slots: None -Compatible Bays: None -Ports: 48.0 x 10/100 + 2.0 x Shared SFP + 2.0 x 10/100/1000 -MAC Address Table Size 8K entries -Remote Management Protocol: RMON , SNMP 3 , Telnet , HTTP , SNMP 1 , SNMP 2c , HTTPS -Encryption Algorithm: SSL 3.0 , SSL 2.0 , SSL -Authentication Method: Secure Shell (SSH) , TACACS+ , RADIUS -Features: Port mirroring , IGMP snooping , VLAN support , DHCP support , Manageable , Auto-negotiation , Broadcast Storm Control , Auto-uplink (auto MDI/MDI-X) , BOOTP support , Syslog support , Flow control -Compliant Standards: IEEE 802.3ab , IEEE 802.1x , IEEE 802.1w , IEEE 802.1Q , IEEE 802.1s , IEEE 802.3x , IEEE 802.3 , IEEE 802.1p , IEEE 802.3ad (LACP) , IEEE 802.1D , IEEE 802.3u -Status Indicators: Port transmission speed , Link OK , Port duplex mode , Link activity , Power Expansion / Connectivity: -Interfaces: 1.0 x Ethernet 10Base-T/100Base-TX - 9 pin D-Sub (DB-9) - Management , 48.0 x Ethernet 10Base-T/100Base-TX/1000Base-T - SFP (mini-GBIC) , 2.0 x Console - RJ-45 , 2.0 x RJ-45 More information (www.dell.com)",,,David_Litz,PowerConnect 3448,,1,,3,3.3,http://community.spiceworks.com/topic/725821,3
Networking Forum,"General: -Device Type: Switch - 48.0 ports - Yes - Stackable -Enclosure Type: Desktop - 1.0 nm -Compatible Slots: None -Compatible Bays: None -Ports: 48.0 x 10/100 + 2.0 x Shared SFP + 2.0 x 10/100/1000 -MAC Address Table Size 8K entries -Remote Management Protocol: RMON , SNMP 3 , Telnet , HTTP , SNMP 1 , SNMP 2c , HTTPS -Encryption Algorithm: SSL 3.0 , SSL 2.0 , SSL -Authentication Method: Secure Shell (SSH) , TACACS+ , RADIUS -Features: Port mirroring , IGMP snooping , VLAN support , DHCP support , Manageable , Auto-negotiation , Broadcast Storm Control , Auto-uplink (auto MDI/MDI-X) , BOOTP support , Syslog support , Flow control -Compliant Standards: IEEE 802.3ab , IEEE 802.1x , IEEE 802.1w , IEEE 802.1Q , IEEE 802.1s , IEEE 802.3x , IEEE 802.3 , IEEE 802.1p , IEEE 802.3ad (LACP) , IEEE 802.1D , IEEE 802.3u -Status Indicators: Port transmission speed , Link OK , Port duplex mode , Link activity , Power Expansion / Connectivity: -Interfaces: 1.0 x Ethernet 10Base-T/100Base-TX - 9 pin D-Sub (DB-9) - Management , 48.0 x Ethernet 10Base-T/100Base-TX/1000Base-T - SFP (mini-GBIC) , 2.0 x Console - RJ-45 , 2.0 x RJ-45 More information (www.dell.com)",,,adrian_ms,PowerConnect 3448,,1,,3,3.3,http://community.spiceworks.com/topic/445592,3
